student_id,minutes_watched,paid_in_q2
158465,146.03,0
158468,6.18,0
158510,0.13,0
158522,10.95,0
158529,330.65,0
158541,1.1,0
158544,0.63,0
158563,13.98,0
158572,0.18,0
158597,77.43,0
158598,11.37,0
158602,2.05,0
158610,6.58,0
158620,6.27,0
158621,42.15,0
158628,1.2,0
158636,0.35,0
158661,0.07,0
158678,5.03,0
158684,0.07,0
158689,5.27,0
158693,5.73,0
158697,0.22,0
158708,0.62,0
158753,121.23,0
158755,16.35,0
158760,5.97,0
158763,5.47,0
159060,176.52,0
159336,501.23,0
159802,0.28,0
159848,38.45,0
159983,2.58,0
160524,75.8,0
160677,73.8,0
160795,0.27,0
161173,319.9,0
161210,805.45,0
161227,83.9,0
161318,11.67,0
161485,183.33,0
161496,688.05,0
161524,159.5,0
161537,91.05,0
161623,0.07,0
161693,358.42,0
161703,230.53,0
161707,2.2,0
162357,0.33,0
162406,83.98,0
162497,1267.38,0
162549,19.88,0
162566,23.07,0
162703,42.15,0
163473,348.3,0
163878,0.52,0
163909,30.73,0
163918,13.82,0
164198,2.85,0
164617,3.25,0
164663,2.98,0
165014,27.83,0
165557,34.58,0
165764,0.53,0
166070,843.5,0
166089,1.5,0
166145,533.25,0
166257,1.75,0
166304,7.9,0
166597,1.37,0
166699,124.87,0
167091,12.12,0
167685,1.03,0
167874,0.15,0
167964,1286.67,0
168147,5.7,0
168253,1.72,0
168545,7.67,0
168684,2.95,0
168792,0.92,0
169681,0.55,0
169764,44.73,0
169909,23.97,0
169966,469.45,0
170014,34.17,0
170034,150.67,0
170706,1.75,0
170905,176.32,0
171001,5.78,0
171176,3.4,0
171213,3.0,0
171274,1.07,0
171296,8.07,0
171350,5.35,0
171425,15.25,0
171479,224.37,0
171523,680.08,0
171609,92.33,0
171693,533.98,0
171735,2.82,0
171738,772.27,0
171832,9.67,0
171898,179.0,0
172218,154.38,0
172386,0.15,0
172397,39.45,0
